Pos,Competitor,NOC
1,300,AUS
2,83205,USA
3,83175,NED
4,2143,SWE
5,83168,KOR
6,1978,KOR
7,2110,RUS
8,471,FRA
9,1921,ITA
10,1953,KAZ
11,1973,KOR
12,2187,KAZ
13,80476,CHN
14,80478,CUB
15,83164,JPN
16,83176,NED
17,80491,GBR
18,83194,TUR
19,2235,USA
20,1919,ITA
21,1918,ITA
22,83185,POL
23,83184,POL
24,304,AUS
25,80495,GER
26,2253,USA
27,80471,BEL
28,83199,UKR
29,80488,FRA
30,83178,NOR
31,401,CHN
32,83190,SWE
33,1942,JPN
34,2198,RUS
35,80481,CUB
36,302,AUS
37,500,FRA
38,80486,FIN
39,83202,UKR
40,83177,NOR
41,2040,NOR
42,80501,JPN
43,346,BHU
44,83196,TUR
45,83189,SWE
46,83201,UKR
47,380,CAN
48,83180,NZL
49,394,CHN
50,440,FIN
51,83171,MEX
52,2108,RUS
53,2111,SLO
54,83165,KAZ
55,80484,ESA
56,80483,EGY
57,2035,NED
58,83179,NZL
59,83195,TUR
60,2075,POR
61,83206,VAN
62,83173,MRI
63,1957,KEN
64,80467,ASA
